,carbohydrates_100g,energy_100g,fiber_100g,nutrition-score-fr_100g,proteins_100g,saturated-fat_100g,sodium_100g,sugars_100g
33883,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33884,72.0,1565.0,0.86,16.0,6.8,1.1,0.31496062992126,39.0
33885,25.575,1607.0,3.9,-1.0,7.2,4.8,0.0078740157480315,2.4
33886,9.2,444.0,1.1,5.0,5.1,1.4,0.62992125984252,8.0
33887,9.8,736.0,0.0,10.0,0.5,0.0,0.031496062992126,37.5
33888,32.875,849.0,5.2,-10.0,11.8,1.0,0.0236220472440945,17.3
33889,11.9,423.0,0.0,3.0,3.7,1.9,0.0511811023622047,14.5
33890,10.950000000000001,209.0,1.0,1.0,1.0,0.15,0.15748031496063,5.0
33891,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33892,39.75,2079.0,0.0,26.0,7.6,10.6,0.181102362204724,39.2
33893,26.75,2100.0,4.3,9.0,8.8,2.8,0.200787401574803,20.5
33894,29.5,1615.0,4.7,6.0,6.5,0.6,0.31496062992126,18.4
33895,10.025,155.0,0.5,-2.0,3.8,0.4,0.031496062992126,0.4
33896,28.1,842.0,0.4,12.0,2.1,5.8,0.0405511811023622,25.7
33897,8.575,389.0,2.0,3.0,1.6,1.4,0.354330708661417,4.1
33898,7.050000000000001,741.0,0.0,14.0,1.8,10.0,0.0196850393700787,17.0
33899,6.05,992.0,2.1,2.0,0.3,0.3,0.0393700787401575,11.0
33900,0.0,418.0,0.0,11.0,0.0,12.0,0.0,0.0
33901,20.75,1766.0,0.0,19.0,16.0,4.8,0.826771653543307,4.6
33902,32.9,2033.0,4.6,9.0,9.6,2.3,0.200787401574803,19.6
33903,23.5,1941.0,3.4,8.0,5.3,2.02,0.122047244094488,21.9
33904,24.675,1966.0,4.2,10.0,5.7,4.3,0.232283464566929,19.6
33905,25.975,987.0,5.5,-3.0,8.9,1.6,0.433070866141732,2.1
33906,40.85,1849.0,5.7,6.0,8.2,1.7,0.133858267716535,18.7
33907,36.775,1833.0,3.1,9.0,6.6,4.9,0.0196850393700787,20.0
33908,22.0,715.0,0.0,11.0,15.5,1.0,0.866141732283465,1.8
33909,15.495,761.0,0.0,5.0,13.0,2.3,0.62992125984252,0.8
33910,5.25,180.0,0.0,2.0,0.0,0.0,0.0,11.0
33911,32.875,2180.0,3.3,17.0,2.5,15.0,0.078740157480315,25.0
33912,8.475000000000001,477.0,0.0,-1.0,9.9,1.4,0.259842519685039,1.5
33913,8.425,238.0,0.0,2.0,0.5,0.5,0.0196850393700787,13.0
33914,11.225,657.0,6.5,-4.0,6.9,0.6,0.37007874015748,0.001
